GMT,Net_pwr,Boat
8/1/2019 0:10,194149.5321,Falcon
8/1/2019 0:20,300000.5321,Falcon
8/1/2019 0:30,194149.5321,Falcon
8/1/2019 0:40,194149.5321,Falcon
8/1/2019 0:50,194149.5321,Falcon
8/1/2019 1:00,194149.5321,Falcon
8/1/2019 1:10,194149.5321,Falcon
8/1/2019 1:20,194149.5321,Falcon
8/1/2019 1:30,194149.5321,Falcon
8/1/2019 1:40,194149.5321,Falcon
8/1/2019 1:50,194149.5321,Falcon
8/1/2019 2:00,194149.5321,Falcon
8/1/2019 2:10,194149.5321,Falcon
8/1/2019 2:20,194149.5321,Falcon
8/1/2019 2:30,194149.5321,Falcon
8/1/2019 2:40,194149.5321,Falcon
8/1/2019 2:50,194149.5321,Falcon
8/1/2019 3:00,152699.7781,Falcon
8/1/2019 3:10,121254.5952,Falcon
8/1/2019 3:20,87944.08162,Falcon
8/1/2019 3:30,65913.03934,Falcon
8/1/2019 3:40,47721.00848,Falcon
8/1/2019 3:50,28014.40312,Falcon
8/1/2019 4:00,11500.29821,Falcon
8/1/2019 4:10,2072.931879,Falcon
8/1/2019 4:20,0,Falcon
8/1/2019 4:30,0,Falcon
8/1/2019 4:40,8329.863566,Falcon
8/1/2019 4:50,3595.622488,Falcon
8/1/2019 5:00,56288.22616,Falcon
8/1/2019 5:10,103878.8358,Falcon
8/1/2019 5:20,119515.8328,Falcon
8/1/2019 5:30,102370.1241,Falcon
8/1/2019 5:40,89985.86665,Falcon
8/1/2019 5:50,82322.35027,Falcon
8/1/2019 6:00,92283.63075,Falcon
8/1/2019 6:10,118997.5751,Falcon
8/1/2019 6:20,141238.0376,Falcon
8/1/2019 6:30,148377.1517,Falcon
8/1/2019 6:40,145468.1735,Falcon
8/1/2019 6:50,138946.8507,Falcon
8/1/2019 7:00,132895.858,Falcon
8/1/2019 7:10,123193.2507,Falcon
8/1/2019 7:20,112919.906,Falcon
8/1/2019 7:30,101044.0281,Falcon
8/1/2019 7:40,88814.2665,Falcon
8/1/2019 7:50,77201.10453,Falcon
8/1/2019 8:00,66496.08739,Falcon
8/1/2019 8:10,56859.15239,Falcon
8/1/2019 8:20,46219.12203,Falcon
8/1/2019 8:30,37252.931,Falcon
8/1/2019 8:40,29017.20731,Falcon
8/1/2019 8:50,22378.55181,Falcon
8/1/2019 9:00,16673.20863,Falcon
8/1/2019 9:10,12669.29096,Falcon
8/1/2019 9:20,9361.379939,Falcon
8/1/2019 9:30,6426.290177,Falcon
8/1/2019 9:40,4075.271552,Falcon
8/1/2019 9:50,1360.928069,Falcon
8/1/2019 10:00,951.6414548,Falcon
8/1/2019 10:10,136.3327587,Falcon
8/1/2019 10:20,0,Falcon
8/1/2019 10:30,469.8104894,Falcon
8/1/2019 10:40,3299.021568,Falcon
8/1/2019 10:50,9147.373811,Falcon
8/1/2019 11:00,25952.11061,Falcon
8/1/2019 11:10,30168.31647,Falcon
8/1/2019 11:20,28419.87593,Falcon
8/1/2019 11:30,42166.2602,Falcon
8/1/2019 11:40,56310.7053,Falcon
